date,market,type,source_regions,price_grade_상,price_grade_중,trend_note,forecast,year
2020-03-16,서울,중도매,"경남 산청, 전남 담양, 충남 논산ㆍ홍성ㆍ공주지역에서 주로 출하됨",18000.0,14000.0,주초를 맞아 반입량은 전일대비 17.3% 증가한 292톤이 반입되어 반입량 증가로 내림세에 거래됨,향후에도 당분간은 시장 내 소비부진으로 약보합세를 전망함,2020
2020-03-17,서울,중도매,"경남 산청ㆍ거창, 전남 담양, 충남 홍성, 전북 남원지역에서 주로 출하됨",17000.0,13000.0,"반입량은 전일대비 18.2% 감소한 239톤이 반입되었으나, 전일 재고량 증가로  내림세에 거래됨",향후에는 제철과일로(오렌지ㆍ참외 등)의 소비분산으로 내림세를 전망함,2020
2020-03-17,부산,중도매,"경남 진주, 함안, 양산 등에서 주로 출하됨",17000.0,13000.0,출하 및 시장내 반입량 대비 지속적인 소비부진의 영향으로 약보합세,향후에도 소비부진이 이어질 것으로 예상되어 보합세 혹은 약보합세 전망,2020
2020-03-17,대구,중도매,"경남 거창, 합천, 밀양, 경북 성주, 청도 등의 지역에서 주로 반입됨.",16000.0,11000.0,금일 시장 반입 물량의 품위 하락으로 인해 내림세에 거래됨.,향후 양질의 상품이 재유입될 것으로 예상되어 보합세 전망.,2020
2020-03-19,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",1100.0,900.0,"시장 내 반입량은 증가하였으나, 소비가 부진하여 가격의 내림세를 보임",향후 반입량과 수요량이 현재와 비슷할 것으로 예상되어 보합세 혹은 약보합세 전망,2020
2020-03-19,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ논산지역에서 주로 출하됨",18000.0,14000.0,반입량은 전일대비 3.6% 감소한 185톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에도 상품성이 우수한 담양지역에서 출하되는 딸기는 강세가 지속 될 전망임,2020
2020-03-26,서울,중도매,"경남 산청, 전남 담양, 충남 공주, 홍성, 논산 지역에서  주로 출하됨",17000.0,13000.0,"반입량은 전일과 비슷한 204톤이 반입되었으나, 제철과일(오렌지, 참외등)로 소비분산으로 내림세에 거래됨",향후에는 기온 상승에 따른 상품성(무름 현상등) 저하로 내림세를 전망함,2020
2020-03-30,광주,중도매,"경남 산청, 충남 논산, 전남 담양, 전북 익산, 경북 고령 지역에서  주로 반입됨",17000.0,12000.0,기온이 포근해지면서 최근 벗꽃놀이로 인한 간식용으로 수요가 활발하면서 소폭 오름세에 거래됨..,향후에도 봄철로 인한 나들이객 수비증가로 강보합세가 전망됨.,2020
2020-03-30,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ논산지역에서 주로 출하됨",20000.0,16000.0,주초를 맞아 반입량은 전일대비 11.8% 감소한 209톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에도 제철과일로(참외ㆍ오렌지 등)의 소비분산으로 내림세를 전망함,2020
2020-03-31,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ논산지역에서 주로 출하됨",18000.0,14000.0,최근 꾸준한 가격을 보인가운데 제철 과일로의 소비분산으로 내림세에 거래됨,향후에도 기온상승에 따른 품위 저하로 약보합세를 전망함,2020
2020-04-01,대구,중도매,"경남 하동, 거창, 대구 북구 등의 지역에서 주로 반입됨.",19000.0,12000.0,"제철이 지나 시장 반입량이 지속적으로 감소하고 있는 반면, 소비자 수요는 꾸준히 유지되고 있어 오름세에 거래됨.","향후에도 반입량 감소세는 지속될 것으로 예상되나, 기온 상승으로 인해 소비자의 새로운 대체과일에 대한 수요가 증가할 것으로 예상되어 보합세 전망.",2020
2020-04-06,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",900.0,700.0,최근 제철과일로의 소비분산으로 인해 가격의 내림세를 보임,"향후 제철이 끝나감에 따라, 고품질의 상품이 적어질 것으로 예상되어 보합세 혹은 약보합세 전망",2020
2020-04-09,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ전북 익산지역에서 주로 출하됨",20000.0,16000.0,최근 꾸준한 가격을 보인가운데 반입량은 전일대비 14.5% 감소한 148톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에는 제철 과일로(참외ㆍ오렌지 등)의 소비분산으로 내림세를 전망함,2020
2020-04-10,대전,중도매,"대전, 경남 진주, 사천, 하동, 산청, 전북 익산, 충남 금산에서 주로 출하됨.",17000.0,13000.0,반입량이 꾸준하고 중품의 상품성이 떨어지면서 중품은 내림세에 거래.,향후 기온이 상승하면서 상품성 하락 및 제철과일 분산으로 완만한 내림세 전망.,2020
2020-04-10,광주,소매,"전남 담양, 화순, 장성, 곡성 등지에서 주 출하됨",1000.0,800.0,"올해 높은 기온으로 숙기가 빨라져 출하가 조기 종료될 것으로 예상되는 가운데, 생산량 증가로 시장 내 반입이 꾸준한 데다, 참외, 오렌지 등 다양한 제철과일 출하로 인한 소비분산 등의 영향으로 가격 상승없이 현 시세에 거래됨",산지의 원활한 출하가 예상되어 향후 약보합세 전망,2020
2020-04-13,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",800.0,600.0,최근 제철이 끝나가고 상품의 품질저하로 가격의 내림세를 형성함,향후 출하종료기가 머지않아 저품질 상품으로 인하여 지속적인 약보합세 전망,2020
2020-04-13,대전,소매,"경남 진주, 의령, 충남 논산, 금산, 충북 보은, 전북 익산 등에서 출하됨",1000.0,700.0,"현재 시장 내 물량이 풍부하고, 소비자들의 수요가 다양한 제철 과일로 분산됨에 따라 소비가 전보다 감소하여 가격의 내림세를 보임",향후 5월이 지나면 제철이 끝나 출하물량이 감소할 것으로 예상되어 가격의 보합세 또는 강보합세가 전망됨,2020
2020-04-17,대구,중도매,"경남 하동, 거창, 대구 북구 등의 지역에서 주로 반입됨.",18000.0,12000.0,금일 우천으로 인해 시장 반입량이 대폭 감소하여 소폭 오름세에 거래됨.,"향후 반입량이 기존 반입량으로 회복될 것으로 예상되나, 제철이 지나 상품의 품위 저하로 인해 약보합세 전망.",2020
2020-04-24,서울,중도매,"전남 담양, 경남 거창·함양·산청·합천, 충남 논산 등지에서 주로 출하됨.",17000.0,13000.0,소비부진이 계속되는 가운데 반입량은 전일대비 8.7% 증가한 137톤이 반입되어 내림세에 거래됨.,주중 시장 내 물량이 풍부하고 소비수요가 참외 등으로 이동하여 약보합세 예상.,2020
2020-04-27,광주,중도매,"경남 산청, 충남 논산, 전북 익산, 남원, 충남 부여 지역에서 주로 출하됨.",17000.0,12000.0,"제철로 인한 출하량은 꾸준하나, 봄철로 등산객 및 나들이객이 늘어나면서 간식용으로 수요가 증가하면서 오름세에 거래됨.",향후에도 사회적 거리두기가 조금씩 완화되면서 각종행사 및 모임으로 수요가 증가할것으로 보여 강보합세 전망.,2020
2020-04-28,대구,중도매,"경남 합천, 경북 고령 등의 지역에서 주로 반입됨.",19000.0,13000.0,"봄나들이 간식으로 수요가 유지되고 있으나, 상품의 품위하락으로 인해 반입량이 감소하여 오름세에 거래됨.","향후에도 제철이 지나 반입량이 지속적으로 감소할 것으로 예상되나, 참외 등 타 제철과일들의 물량 증가로 소비자 성향이 이동할 것으로 예상되어 강보합세 전망.",2020
2020-05-07,대전,중도매,"전북 익산, 경남 진주, 충남 논산, 금산, 경북 김천 등에서 주로 반입됨.",15000.0,10000.0,최근 기온이 상승하며 과육이 물러지는 등 상품성이 낮아지며 내림세에 거래.,당분간 상품성 저하 및 산지출하가 지속될 것으로 보여 내림세 또는 약보합세 전망.,2020
2020-05-07,부산,중도매,"경남 진주, 함안, 양산 등에서 주로 출하됨",15000.0,11000.0,제철이 지나고 기온이 올라가며 상품성이 떨어지고 수요도 높지 않아 약보합세,"출하시기가 종료되어가며, 낮은 상품성과 수요의 영향으로 약보합세 전망",2020
2020-05-07,광주,소매,"전남 담양, 장성, 곡성 등지에서 주 출하됨",800.0,600.0,"출하종료시기로 공급물량이 감소한 데다, 수박, 참외 등 다양한 제철과일 반입에 따른 소비분산 등의 영향으로 내림세에 거래됨",제철이 지나 소비 선호도 저하로 약보합세 전망,2020
2020-12-02,서울,중도매,"경남 산청·거창·합천·진주·함양·고성, 전남 담양·곡성, 전북 남원·부안, 충남 공주·논산 등지에서 출하됨",42400.0,37400.0,경남 지역 중심 출하가 시작되고 시장 내 반입되어 거래됨,주중 출하 지역이 확산되는 추세이나 당분간 보합세 전망,2020
2020-12-09,대구,중도매,경북 김천 등의 지역에서 주로 출하됨,32000.0,27000.0,제철 과일로써 출하가 시작된 이후 공급량이 안정되면서 초기 높았던 가격이 안정되어 내림세에 거래됨.,"대부분의 품목이 거래량 위축이 지속되고 있고, 공급량 상승도 당분간 지속될 것으로 예상되어 약보합세 전망.",2020
2020-12-09,부산,중도매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",32000.0,28000.0,"딸기의 반입이 점차 증가하는 추세이나, 거리두기의 영향으로 소비는 원활치 못해 약보합세",향후에도 거리두기의 영향으로 소비량의 변화가 크지 않을 것으로 예상되어 보합세 혹은 약보합세 전망,2020
2020-12-15,서울,중도매,"경남 산청·거창·함안, 전남 담양 등지에서주로 반입됨",32000.0,27000.0,강추위로 출하 물량이 감소하였으나 소비가 급감하여 내림세에 거래됨,주중 출하량 감소가 지속될 것으로 예상하나 소비 부진으로 내린 가격 보합세 전망,2020
2020-12-17,대전,중도매,"충남 논산, 금산, 경남 하동 등지에서 주로 반입됨",29000.0,25000.0,하우스 재배로 시장 내에서 반입물량이 늘어나면서 가격 하락세에 거래 중,"향후, 시간이 지날수록 생산량 증가와 더불어 반입량이 함께 증가하면서 가격 하락세 전망",2020
2020-12-17,부산,중도매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",28000.0,24000.0,"딸기의 공급량은 꾸준하나, 거리두기의 영향으로 소비는 원활치 못해 약보합세",향후에도 거리두기의 영향으로 소비량의 변화가 크지 않을 것으로 예상되어 보합세 혹은 약보합세 전망,2020
2020-12-17,대구,중도매,"경북 고령, 경남 거창 등의 지역에서 주로 반입됨.",27000.0,22000.0,"제철을 맞아 출하 이후 공급량이 안정되었으나, 시장 내 거래량 침체로 인해 내림세에 거래됨.","향후에도 소비자 수요 침체가 연말까지 지속될 것으로 보이고, 시장 내에서 판매량 조절이 이루어질 것으로 예상되어 보합세 전망.",2020
