date,temp_avg,temp_max,temp_min,rainfall_sum,wind_avg,humidity_avg,ground_temp_avg,cloud_avg,temp_range,price,price_ffill,busan,daegu,gwangju,daejeon,busan_ffill,daegu_ffill,gwangju_ffill,daejeon_ffill,price_lag1,price_lag7,price_ma7,price_ma14,temp_ma7,rainfall_cum7,rainfall_cum14,humidity_ma7,month,dow,is_season
2023-09-06,25.71875,31.3,20.9,0.0,0.9395833333333334,81.20833333333333,28.291666666666664,2.458333333333333,10.400000000000002,,,,,,,,,,,,,,,25.332142857142856,10.69999999999997,167.39999999999998,86.74702380952381,9,2,0
2023-09-07,24.43541666666667,29.65,20.05,0.0,1.21875,73.77083333333334,28.40208333333333,0.1041666666666666,9.599999999999998,,,,,,,,,,,,,,,25.395833333333336,6.049999999999971,124.55000000000001,84.49702380952382,9,3,0
2023-09-08,23.18125,29.25,18.049999999999997,0.0,0.7791666666666666,75.0,27.37291666666667,0.1666666666666666,11.200000000000003,,,,,,,,,,,,,,,25.179464285714285,6.049999999999971,124.55000000000001,83.16964285714286,9,4,0
2023-09-09,23.56458333333333,30.0,18.35,0.0,0.6791666666666667,80.25,28.7875,1.375,11.649999999999999,,,,,,,,,,,,,,,25.157738095238095,4.799999999999971,124.55000000000001,81.46130952380952,9,5,0
2023-09-10,24.004166666666663,29.6,20.15,0.0,0.625,82.54166666666666,29.241666666666667,5.25,9.450000000000003,,,,,,,,,,,,,,,24.833630952380954,3.9999999999999716,123.45000000000002,80.43154761904762,9,6,0
2023-09-11,24.362499999999997,30.0,19.7,0.0,0.6166666666666667,80.8125,29.44166666666667,5.083333333333334,10.3,,,,,,,,,,,,,,,24.51845238095238,0.0,116.55000000000001,79.38392857142857,9,0,0
2023-09-12,24.50625,28.85,20.700000000000003,0.0,0.5083333333333333,82.375,29.34375,7.979166666666666,8.149999999999999,,,,,,,,,,,,,,,24.25327380952381,0.0,74.9,79.42261904761905,9,1,0
2023-09-13,23.102083333333333,25.7,20.7,16.85,0.7958333333333333,95.04166666666666,25.15625,9.791666666666668,5.0,,,,,,,,,,,,,,,23.879464285714285,16.849999999999973,27.55,81.39880952380952,9,2,0
2023-09-14,22.27708333333333,24.35,21.05,16.6,0.71875,98.375,24.487499999999997,9.875,3.3000000000000007,,,,,,,,,,,,,,,23.57113095238095,33.449999999999974,39.5,84.91369047619047,9,3,0
2023-09-15,22.958333333333336,25.75,21.4,38.75,0.8868872549019609,98.58333333333334,24.84375,7.833333333333333,4.350000000000001,,,,,,,,,,,,,,,23.53928571428571,72.19999999999997,78.25,88.28273809523809,9,4,0
2023-09-16,23.402083333333337,25.85,22.4,35.05,0.6229166666666667,98.72916666666666,24.679166666666667,7.875,3.450000000000003,,,,,,,,,,,,,,,23.51607142857143,107.24999999999997,112.05,90.92261904761904,9,5,0
2023-09-17,24.360416666666666,27.45,21.95,10.15,0.95625,93.60416666666666,26.795833333333334,8.541666666666666,5.5,,,,,,,,,,,,,,,23.566964285714285,117.39999999999998,121.4,92.50297619047619,9,6,0
2023-09-18,25.054166666666664,29.35,22.200000000000003,0.15,0.59375,89.85416666666667,27.177083333333336,4.520833333333334,7.149999999999999,,,,,,,,,,,,,,,23.66577380952381,117.54999999999997,117.55,93.79464285714286,9,0,0
2023-09-19,23.68958333333333,29.0,20.25,0.0,0.6854166666666667,86.1875,26.21458333333333,5.25,8.75,,,,,,,,,,,,,,,23.549107142857142,117.54999999999997,117.55,94.33928571428571,9,1,0
2023-09-20,22.108333333333334,24.4,20.200000000000003,29.1,1.20625,98.4375,23.210416666666667,8.9375,4.199999999999996,,,,,,,,,,,,,,,23.407142857142855,129.79999999999995,146.65,94.82440476190477,9,2,0
2023-09-21,21.12291666666667,23.7,19.3,4.05,0.8333333333333333,97.02083333333331,23.772916666666667,8.395833333333334,4.399999999999999,,,,,,,,,,,,,,,23.242261904761904,117.24999999999997,150.7,94.6309523809524,9,3,0
2023-09-22,20.970833333333335,25.950000000000003,17.6,0.0,0.8229166666666667,86.14583333333334,24.15625,4.104166666666666,8.350000000000001,,,,,,,,,,,,,,,22.958333333333336,78.49999999999997,150.7,92.85416666666666,9,4,0
2023-09-23,19.81875,24.450000000000003,15.8,0.0,1.0854166666666667,82.27083333333334,22.143750000000004,7.666666666666666,8.650000000000002,,,,,,,,,,,,,,,22.446428571428573,43.449999999999974,150.7,90.50297619047619,9,5,0
2023-09-24,20.183333333333337,25.8,15.5,0.0,1.5166666666666668,76.89583333333334,22.6,5.375,10.3,,,,,,,,,,,,,,,21.849702380952383,33.299999999999976,150.7,88.11607142857143,9,6,0
2023-09-25,21.3875,26.5,17.65,0.0,1.1208333333333331,83.10416666666666,23.727083333333333,8.645833333333332,8.850000000000001,,,,,,,,,,,,,,,21.325892857142858,33.14999999999998,150.7,87.15178571428571,9,0,0
2023-09-26,22.4125,24.05,21.049999999999997,0.1,0.9291666666666668,94.54166666666666,23.762500000000003,8.979166666666668,3.0000000000000036,,,,,,,,,,,,,,,21.143452380952386,33.24999999999998,150.8,88.34523809523809,9,1,0
2023-09-27,22.516666666666666,26.0,20.45,0.5499999999999999,1.0166666666666666,90.70833333333331,24.65625,8.104166666666666,5.550000000000001,,,,,,,,,,,,,,,21.201785714285716,4.699999999999971,134.5,87.24107142857143,9,2,0
2023-09-28,22.860416666666666,27.5,19.25,0.0,1.1625,83.58333333333333,25.983333333333334,4.416666666666666,8.25,,,,,,,,,,,,,,,21.45,0.6499999999999715,117.9,85.32142857142857,9,3,0
2023-09-29,20.81875,27.25,15.45,0.0,0.6458333333333333,80.625,24.645833333333336,4.6875,11.8,,,,,,,,,,,,,,,21.42827380952381,0.6499999999999715,79.15,84.53273809523809,9,4,0
2023-09-30,19.297916666666666,24.1,15.2,4.15,1.1666666666666663,84.0,22.795833333333334,7.75,8.900000000000002,,,,,,,,,,,,,,,21.35386904761905,4.799999999999972,48.25,84.7797619047619,9,5,0
2023-10-01,18.972916666666663,24.0,14.3,0.0,1.5666666666666669,68.125,22.389583333333334,2.625,9.7,,,,,,,,,,,,,,,21.18095238095238,4.799999999999972,38.1,83.5267857142857,10,6,0
2023-10-02,17.085416666666667,24.65,11.4,0.0,1.1770833333333333,70.0,21.570833333333333,4.3125,13.249999999999998,,,,,,,,,,,,,,,20.566369047619048,4.799999999999972,37.95,81.6547619047619,10,0,0
2023-10-03,15.789583333333333,18.8,13.25,1.4,0.8395833333333333,89.0625,17.797916666666666,7.833333333333334,5.550000000000001,,,,,,,,,,,,,,,19.620238095238097,6.099999999999973,39.35,80.87202380952381,10,1,0
2023-10-04,18.077083333333334,25.1,12.75,0.25,1.1208333333333331,78.52083333333333,21.758333333333333,5.958333333333333,12.350000000000001,,,,,,,,,,,,,,,18.986011904761906,5.799999999999972,10.5,79.13095238095238,10,2,0
2023-10-05,17.241666666666667,21.0,14.25,0.2,2.6666666666666665,47.395833333333336,20.43958333333333,5.166666666666666,6.75,,,,,,,,,,,,,,,18.183333333333334,5.999999999999972,6.6499999999999995,73.96130952380952,10,3,0
2023-10-06,15.727083333333333,21.2,11.2,0.0,1.075,61.0,19.895833333333336,8.708333333333332,10.0,,,,,,,,,,,,,,,17.45595238095238,5.999999999999972,6.6499999999999995,71.15773809523809,10,4,0
2023-10-07,16.427083333333332,20.15,12.9,0.1,0.7645833333333334,76.6875,19.518749999999997,9.625,7.249999999999998,,,,,,,,,,,,,,,17.04583333333333,1.9499999999999715,6.75,70.11309523809523,10,5,0
2023-10-08,17.114583333333336,21.4,14.5,1.7000000000000002,1.1770833333333333,84.5625,20.052083333333336,8.520833333333332,6.899999999999999,,,,,,,,,,,,,,,16.780357142857145,3.649999999999972,8.45,72.46130952380952,10,6,0
2023-10-09,17.9875,22.9,14.55,0.0,0.7979166666666667,81.375,21.010416666666664,7.666666666666666,8.349999999999998,,,,,,,,,,,,,,,16.909226190476193,3.649999999999972,8.45,74.08630952380952,10,0,0
2023-10-10,17.377083333333335,22.8,13.35,0.0,1.1124999999999998,76.8125,20.414583333333333,4.166666666666666,9.450000000000001,,,,,,,,,,,,,,,17.136011904761904,2.2499999999999716,8.35,72.33630952380952,10,1,0
2023-10-11,16.683333333333334,23.450000000000003,11.5,0.0,0.7583333333333333,76.85416666666666,20.727083333333333,1.375,11.950000000000003,,,,,,,,,,,,,,,16.936904761904763,1.9999999999999718,7.8,72.09821428571429,10,2,0
2023-10-12,16.233333333333334,23.45,10.55,0.0,0.8520833333333333,72.0,20.34166666666667,3.270833333333333,12.899999999999999,,,,,,,,,,,,,,,16.792857142857144,1.7999999999999718,7.800000000000001,75.61309523809526,10,3,0
2023-10-13,16.65,21.95,12.3,0.0,0.5354166666666667,74.79166666666666,19.647916666666667,8.666666666666666,9.649999999999999,,,,,,,,,,,,,,,16.92470238095238,1.7999999999999718,7.800000000000001,77.58333333333334,10,4,0
2023-10-14,16.49375,22.200000000000003,12.4,0.0,0.8187500000000001,81.22916666666667,19.63125,6.291666666666667,9.800000000000002,,,,,,,,,,,,,,,16.934226190476192,1.6999999999999718,3.6500000000000004,78.23214285714286,10,5,0
2023-10-15,16.625,21.700000000000003,12.25,0.0,1.6895833333333334,76.22916666666666,19.022916666666667,3.041666666666667,9.450000000000003,,,,,,,,,,,,,,,16.864285714285717,0.0,3.6500000000000004,77.04166666666666,10,6,0
2023-10-16,15.854166666666668,20.65,11.45,0.0,1.5770833333333332,71.64583333333334,18.889583333333334,0.75,9.2,,,,,,,,,,,,,,,16.559523809523807,0.0,3.6500000000000004,75.65178571428571,10,0,0
2023-10-17,14.070833333333336,22.25,7.65,0.0,0.8625,70.83333333333333,17.652083333333334,0.0,14.6,,,,,,,,,,,,,,,16.08720238095238,0.0,2.25,74.79761904761905,10,1,0
2023-10-18,14.310416666666669,22.950000000000003,7.15,0.0,0.8416666666666667,75.625,17.762500000000003,1.9583333333333333,15.800000000000002,,,,,,,,,,,,,,,15.748214285714285,0.0,2.0,74.62202380952381,10,2,0
2023-10-19,15.675,22.1,10.15,2.1,0.8083333333333333,86.5625,18.679166666666667,7.354166666666667,11.950000000000001,,,,,,,,,,,,,,,15.668452380952383,2.0999999999999717,3.9000000000000004,76.70238095238095,10,3,0
2023-10-20,13.345833333333337,16.75,10.4,3.8,3.083333333333333,66.41666666666667,15.970833333333337,5.3125,6.35,,,,,,,,,,,,,,,15.196428571428573,5.899999999999972,7.7,75.5059523809524,10,4,0
2023-10-21,11.966666666666669,16.95,6.6,0.2,1.9333333333333331,62.083333333333336,12.633333333333333,1.6041666666666663,10.35,,,,,,,,,,,,,,,14.549702380952382,6.099999999999971,7.800000000000001,72.77083333333334,10,5,0
2023-10-22,12.20625,18.4,5.75,0.0,0.76875,73.60416666666666,13.389583333333334,5.125,12.649999999999999,,,,,,,,,,,,,,,13.918452380952383,6.099999999999971,6.1,72.39583333333333,10,6,0
2023-10-23,13.56875,20.799999999999997,8.0,0.0,0.5395833333333333,81.16666666666666,15.997916666666669,1.0625,12.799999999999997,,,,,,,,,,,,,,,13.591964285714287,6.099999999999971,6.1,73.75595238095238,10,0,0
2023-10-24,13.233333333333334,19.9,7.75,0.0,0.475,81.39583333333334,15.541666666666666,3.8958333333333335,12.149999999999999,,,,,,,,,,,,,,,13.47232142857143,6.099999999999971,6.1,75.26488095238095,10,1,0
2023-10-25,15.252083333333337,23.200000000000003,9.3,0.0,0.5229166666666667,82.8125,18.020833333333336,1.3125,13.900000000000002,,,,,,,,,,,,,,,13.606845238095241,6.099999999999971,6.1,76.29166666666666,10,2,0
2023-10-26,16.083333333333332,23.3,10.2,0.0,0.7520833333333333,84.27083333333333,18.316666666666663,2.979166666666667,13.100000000000001,,,,,,,,,,,,,,,13.665178571428573,3.9999999999999716,6.1,75.96428571428571,10,3,0
2023-10-27,15.508333333333336,19.549999999999997,11.1,0.0,1.3291666666666668,71.29166666666667,17.63125,1.7291666666666663,8.449999999999998,,,,,,,,,,,,,,,13.974107142857145,0.1999999999999716,6.1,76.66071428571429,10,4,0
2023-10-28,13.53125,21.1,7.4,0.0,0.5604166666666667,79.85416666666666,16.34583333333333,0.8958333333333334,13.700000000000001,,,,,,,,,,,,,,,14.197619047619048,0.0,6.1,79.19940476190474,10,5,0
2023-10-29,13.860416666666666,20.9,8.05,0.0,0.4979166666666667,82.47916666666666,16.564583333333335,1.5,12.849999999999998,,,,,,,,,,,,,,,14.433928571428572,0.0,6.1,80.4672619047619,10,6,0
2023-10-30,14.31875,22.2,9.05,0.0,0.4458333333333333,83.22916666666666,17.181250000000002,0.9375,13.149999999999999,,,,,,,,,,,,,,,14.541071428571428,0.0,6.1,80.76190476190477,10,0,0
2023-10-31,14.0625,23.75,7.6,0.0,0.6312500000000001,73.58333333333334,16.1625,0.4583333333333333,16.15,,,,,,,,,,,,,,,14.65952380952381,0.0,6.1,79.64583333333333,10,1,0
2023-11-01,15.754166666666666,23.9,8.75,0.0,0.8833333333333333,83.20833333333334,17.725,1.9583333333333333,15.149999999999999,,,,,,,,,,,,,,,14.73125,0.0,6.1,79.70238095238095,11,2,1
2023-11-02,17.945833333333333,26.85,12.4,0.0,0.7875000000000001,76.16666666666667,18.691666666666663,1.375,14.450000000000001,,,,,,,,,,,,,,,14.997321428571428,0.0,4.0,78.54464285714286,11,3,1
